序号,等级原文,主等级,兼属等级,等级组,词语,拼音,词性,PDF页码
469,2,2,,初等,药店,yàodiàn,名,91
470,2,2,,初等,爷爷,yéye,名,91
471,2（3）,2,3,初等,一会儿,yíhuìr,数量、（副）,91
472,2,2,,初等,已经,yǐjīng,副,91
473,2,2,,初等,一起,yìqǐ,副,91
474,2,2,,初等,意思,yìsi,名,91
475,2,2,,初等,阴,yīn,形,91
476,2,2,,初等,因为,yīnwèi,介、连,91
477,2,2,,初等,游,yóu,动,91
478,2,2,,初等,游泳,yóuyǒng,动,91
479,2,2,,初等,有意思,yǒu yìsi,,91
480,2,2,,初等,有时,yǒushí,副,91
481,2,2,,初等,右,yòu,名,92
482,2,2,,初等,右边,yòubian,名,92
483,2,2,,初等,鱼,yú,名,92
484,2,2,,初等,远,yuǎn,形,92
485,2,2,,初等,运动,yùndòng,动、名,92
486,2,2,,初等,站1,zhàn,名,92
487,2,2,,初等,丈夫,zhàngfu,名,92
488,2,2,,初等,这么,zhème,代,92
489,2,2,,初等,这样,zhèyàng,代,92
490,2,2,,初等,着,zhe,助,92
491,2（5）,2,5,初等,正,zhèng,副、（形）,92
492,2（6）,2,6,初等,周,zhōu,名、（量）,92
493,2,2,,初等,准备,zhǔnbèi,动,92
494,2,2,,初等,自己,zìjǐ,代,92
495,2,2,,初等,走,zǒu,动,92
496,2,2,,初等,走路,zǒulù,动,92
497,2,2,,初等,足球,zúqiú,名,92
498,2,2,,初等,最,zuì,副,92
499,2,2,,初等,左,zuǒ,名,92
500,2,2,,初等,左边,zuǒbian,名,92
501,3,3,,初等,阿姨,āyí,名,92
502,3,3,,初等,矮,ǎi,形,92
503,3,3,,初等,爱人,àiren,名,92
504,3,3,,初等,安静,ānjìng,形,92
505,3,3,,初等,安全,ānquán,形,92
506,3,3,,初等,把,bǎ,量、介,92
507,3,3,,初等,搬,bān,动,92
508,3,3,,初等,班级,bānjí,名,92
509,3,3,,初等,搬家,bānjiā,动,92
510,3,3,,初等,办,bàn,动,92
511,3,3,,初等,办法,bànfǎ,名,92
512,3,3,,初等,办公室,bàngōngshì,名,92
513,3,3,,初等,半天,bàntiān,数量,92
514,3,3,,初等,帮助,bāngzhù,动,92
515,3,3,,初等,饱,bǎo,形,92
516,3,3,,初等,报纸,bàozhǐ,名,92
517,3,3,,初等,北,běi,名,92
518,3,3,,初等,北方,běifāng,名,92
519,3,3,,初等,被,bèi,介,92
520,3,3,,初等,笔记,bǐjì,名,92
521,3,3,,初等,比较,bǐjiào,动、介、副,93
522,3,3,,初等,笔记本,bǐjìběn,名,93
523,3,3,,初等,比如,bǐrú,动,93
524,3,3,,初等,比赛,bǐsài,动、名,93
525,3,3,,初等,必须,bìxū,副,93
526,3,3,,初等,变,biàn,动,93
527,3,3,,初等,遍,biàn,量,93
528,3,3,,初等,变成,biànchéng,动,93
529,3,3,,初等,变化,biànhuà,动、名,93
530,3,3,,初等,表演,biǎoyǎn,动,93
531,3,3,,初等,别的,biéde,代,93
532,3,3,,初等,别人,biérén,代,93
533,3,3,,初等,宾馆,bīnguǎn,名,93
534,3（5）,3,5,初等,冰,bīng,名、（动）,93
535,3,3,,初等,冰激凌,bīngjīlíng,名,93
536,3,3,,初等,冰箱,bīngxiāng,名,93
537,3,3,,初等,病人,bìngrén,名,93
538,3,3,,初等,不但,búdàn,连,93
539,3,3,,初等,不见,bújiàn,动,93
540,3,3,,初等,不用,búyòng,副,93
541,3,3,,初等,不同,bù tóng,,93
542,3,3,,初等,不久,bùjiǔ,形,93
543,3,3,,初等,不行,bùxíng,动、形,93
